State/UTs,Total Cases,Active,Discharged,Deaths
Maharashtra,6531237,43544,6349029,138664
Kerala,4559601,161596,4373966,24039
Karnataka,2970208,13650,2918890,37668
Tamil Nadu,2650370,17027,2597943,35400
Andhra Pradesh,2042073,13796,2014180,14097
Uttar Pradesh,1709708,196,1686624,22888
West Bengal,1563393,7724,1536978,18691
Delhi,1438586,411,1413090,25085
Odisha,1021950,5129,1008671,8150
Chhattisgarh,1005146,300,991283,13563
Rajasthan,954282,98,945230,8954
Gujarat,825771,133,815556,10082
Madhya Pradesh,792422,90,781815,10517
Haryana,770770,332,760629,9809
Bihar,725918,60,716199,9659
Telengana,664164,4946,655310,3908
Punjab,601401,324,584576,16501
Assam,599271,4880,588574,5817
Jharkhand,348146,63,342950,5133
Uttarakhand,343428,256,335781,7391
Jammu and Kashmir,328418,1536,322463,4419
Himachal Pradesh,217615,1823,212133,3659
Goa,175792,950,171545,3297
Puducherry,125735,945,122956,1834
Manipur,119041,2214,114991,1836
Mizoram,84109,15638,68199,272
Tripura,83981,346,82825,810
Meghalaya,79983,1868,76730,1385
Chandigarh,65201,44,64338,819
Arunachal Pradesh,54241,442,53526,273
Sikkim,31074,642,30051,381
Nagaland,30990,459,29873,658
Ladakh,207507,148,20395,207
Dadra and Nagar Haveli and Daman and Diu,10670,0,10666,4
Lakshadweep,10361,10,10300,51
Andaman and Nicobar,7615,20,7466,129
